NodeName,OAGName,Name,City,Lon,Lat
ARN,Stockholm(Arlanda) Sweden,Arlanda Airport,Stockholm,17.93,59.65
ASB,Ashgabat Turkmenistan,Ashgabat Airport,Ashgabat,58.37,37.98
ASF,Astrakhan Russian Fed.,Astrakhan Airport,Astrakhan,48,46.29
ASM,Asmara Eritrea,Asmara International Airport,Asmara,38.91,15.29
ASR,Kayseri Erkilet,Kayseri Airport,Kayseri,35.49,38.77
ASU,Asuncion Paraguay,Silvio Pettirossi Airport,Asuncion,-57.51,-25.24
ASW,Aswan Egypt,Aswan Airport,Aswan,32.82,23.97
ATH,Athens (Intl) Greece,Eleftherios Venizelos International Airport,Athens,23.95,37.94
ATL,Atlanta(Intl) GA USA,Hartsfield-Jackson Atlanta International Airport,Atlanta,-84.44,33.64
ATQ,Amritsar India,Raja Sansi Airport,Amritsar,74.81,31.71
ATZ,Assiut Egypt,Assiut Airport,Assiut,31,27.03
AUA,Aruba,Reina Beatrix Airport,Aruba,-70.01,12.5
AUH,Abu Dhabi(Intl) U.A. Emirates,Abu Dhabi International Airport,Abu Dhabi,54.65,24.43
AUS,Austin(Bergstrom Intl) TX USA,Austin-Bergstrom International Airport,Austin,-97.67,30.2
AUX,Araguaina TO Brazil,Araguaina Airport,Araguaina,-48.2,-7.2
AWZ,Ahwaz Iran,Ahwaz Airport,Ahwaz,48.75,31.34
AXT,Akita Japan,Akita Airport,Akita,140.22,39.61
AYP,Ayacucho Peru,Yanamilla Airport,Ayacucho,-74.25,-13.2
AYT,Antalya Turkey,Antalya Airport,Antalya,30.8,36.9
AZA,Phoenix (William Gateway) AZ USA,Phoenix-Mesa Gateway Airport,Mesa,-111.66,33.31
AZD,Yazd Shahid Sadooghi Iran,Yazd Airport,Yazd,54.28,31.9
AZN,Andizhan Uzbekistan,Andizhan Airport,Andizhan,72.3,40.73
BAL,Batman Turkey,Batman Airport,Batman,41.08,37.92
BAQ,Barranquilla Colombia,E Cortissoz Airport,Barranquilla,-74.78,10.89
BAS,Balalae Solomon Is.,Balalae Airport,Balalae,155.88,-6.98
BAV,Baotou China,Baotou Airport,Baotou,110,40.56
BAX,Barnaul Russian Fed.,Barnaul Airport,Barnaul,83.55,53.36
BAY,Baia Mare Romania,Baia Mare Airport,Baia Mare,23.47,47.65
BBI,Bhubaneswar India,Bhubaneswar Airport,Bhubaneswar,85.82,20.25
BBO,Berbera Somalia,Berbera Airport,Berbera,45.01,10.42
BBU,Bucharest(Baneasa) Romania,Baneasa Airport,Bucharest,26.08,44.5
BCD,Bacolod Philippines,Bacolod Airport,Bacolod,122.93,10.64
BCM,Bacau Romania,Bacau Airport,Bacau,26.88,46.6
BCN,Barcelona Spain,Barcelona Airport,Barcelona,2.08,41.3
BDH,Bandar Lengeh Iran,Bandar Lengeh Airport,Bandar Lengeh,54.83,26.53
BDJ,Banjarmasin Indonesia,Sjamsudin Noor Airport,Banjarmasin,114.75,-3.44
BDL,Hartford(Bradley Intl) CT USA,Bradley International Airport,Hartford,-72.68,41.93
BDO,Bandung Indonesia,Husein Sastranegara Airport,Bandung,107.58,-6.9
BDQ,Vadodara India,Vadodara Airport,Vadodara,73.22,22.33
BEG,Belgrade Nikola Tesla,Belgrad Nikola Tesla Airport,Belgrade,20.31,44.82
BEL,Belem PA Brazil,Val De Cans Airport,Belem,-48.48,-1.39
BEN,Benghazi Libya,Benina International Airport,Benghazi,20.26,32.09
BES,Brest France,Guipavas Airport,Brest,-4.42,48.45
BEW,Beira Mozambique,Beira Airport,Beira,34.9,-19.8
BEY,Beirut Rafic Hariri Intl Lebanon,Beirut International Airport,Beirut,35.49,33.83
BFI,Seattle (Boeing Field) WA USA,Boeing Field International Airport,Seattle,-122.3,47.54
BFL,Bakersfield CA USA,Meadows Field,Bakersfield,-119.05,35.43
BFN,Bloemfontein(Intl) South Africa,Bloemfontein International Airport,Bloemfontein,26.3,-29.1
BFS,Belfast(Intl) N.Ireland UK,Belfast International Airport,Belfast,-6.22,54.66
BGA,Bucaramanga Colombia,Palo Negro Airport,Bucaramanga,-73.18,7.13
BGF,Bangui Central African Rep.,Bangui Airport,Bangui,18.52,4.4
BGO,Bergen Norway,Flesland Airport,Bergen,5.23,60.29
BGW,Baghdad Iraq,Al Muthana Airport,Baghdad,44.23,33.26
BGY,Milan (Bergamo/Orio Al Serio) Italy,Orio Al Serio Airport,Milan,9.7,45.67
BHD,Belfast(City) N.Ireland UK,Belfast City Airport,Belfast,-5.87,54.61
BHI,Bahia Blanca BA Argentina,Comandante Airport,Bahia Blanca,-62.15,-38.73
BHJ,Bhuj India,Rudra Mata Airport,Bhuj,69.67,23.29
BHK,Bukhara Uzbekistan,Bukhara Airport,Bukhara,64.47,39.76
BHM,Birmingham AL USA,Birmingham Airport,Birmingham,-86.75,33.56
BHO,Bhopal India,Bhopal Airport,Bhopal,77.34,23.28
BHR,Bharatpur Nepal,Bharatpur Airport,Bharatpur,84.43,27.68
BHU,Bhavnagar India,Bhavnagar Airport,Bhavnagar,72.18,21.75
BHV,Bahawalpur Pakistan,Bahawalpur Airport,Bahawalpur,71.68,29.4
BHX,Birmingham England UK,Birmingham International Airport,Birmingham,-1.73,52.45
BHY,Beihai China,Beihai Airport,Beihai,109.29,21.54
